Barcode doos;Barcode fles;Naam;Dozen;Flessen
8437007139423;8437007139426;Cal y Canto Full Red;7;42
010801151007437710L23059;8011510023870;Aurosia Pinot Grigio Delle Venezie;2;12
8437007139270;8437007139273;Finca Besaya Rioja Crianza;4;24
5414112000189;3700059200167;IGP Côtes de Thau  Chardonnay Beauvignac;23;138
28437007139437;8437007139433;Cal Y Canto Blanco;21;126
8008863279016;8008863052527;Uccellini Puglia IGT Primitivo Bio;3;18
3760165957072;3760165951070;Domaine St. Felix-  Cuvée Pierre Martin Rosé;4;24
843655721104;8436555721107;Melea Tempranillo;6;36
8023354033663;8023354033618;Gran Trio Salento;13;78
8425895106149;8425895100147;Rueda 'Caballero de Olmedo'  Félix Lorenzo Cachazo;2;12
5404011002049;2000000009827;Blaashoek Chenin Blanc 2018 - Suid-Afrika;4;24
8000254004788;8000254004771;Sicilia 'Arpeggio Bianco' 2018 Cantine Settesoli;7;42
28437007139444;8437007139440;CAL Y CANTO | Rosada Bobal;6;36
8411277203568;8411277400417;Cava Arte Latino Brut - Méthode Traditionnelle;3;18
3760071137193;3760071131276;Pink Colombay Rose;6;36
8437014137033;8437014137019;Ribeiro 2019 Ramón do Casar Varietal;6;36
5608527000415;5608527000418;Dona Ermelinda Branco white;7;42
3760028338109;3760028338109;Rare Vineyards Carignan Vieilles Vignes;6;36
3489070301755;3489070301755;Rosé Domaine de la Renaudie;1;6
3760071130101;3760071130101;La Colombette Rosé Grenache Grand Large;3;36
eb0001;eb0001;Sancerre Blanc 2021;1;3
eb0002;eb0002;pouilly fuisse 2021;1;6
15606545740009;5606545740002;Van Zellers Tawny Porto - Portugal;1;6
3760071130026;3760071130026;Colombette d'Hérault 2018 Chardonnay Demi Muid;1;6
4022214571134;4022214171136;Villa Wolf Riesling Dry;1;6
9120020044035;9120020044028;Gritsch Kalmuck Grüner Veltliner Federspiel;1;6
8055732200053;8055732200053;Bardolino 2018 Massimo Ronca;1;3
9120018517930;9120018517930;Iby Chevalier Blaufrankisch Reserve;1;3
8437005068070;8437005068070;Juan Gil 'Silver Label' 2017 - Jumilla - España;1;3
8410439010884;8410439010884;Amphora Roja Natural Pares Balta 75cl;1;2
eb0003;eb0003;Chiroubles 2021;1;3
eb0004;eb0004;Louis Loron;1;6
8032771836153;8032771810450;Masseria Li Veli - Contrade Negroamaro;2;24
eb0005;eb0005;Atugnac 2020;1;6
3113941162724;3113941213105;Billecart-Salmon - Brut Réserve;1;6
eb0006;eb0006;Lancerre 2021;1;6
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
8437007139426;Cal y Canto Full Red;7;42;
8011510023870;Aurosia Pinot Grigio Delle Venezie;2;12;
8437007139273;Finca Besaya Rioja Crianza;4;24;
3700059200167;IGP Côtes de Thau  Chardonnay Beauvignac;23;138;
8437007139433;Cal Y Canto Blanco;21;126;
8008863052527;Uccellini Puglia IGT Primitivo Bio;3;18;
3760165951070;Domaine St. Felix-  Cuvée Pierre Martin Rosé;4;24;
8436555721107;Melea Tempranillo;6;36;
8023354033618;Gran Trio Salento;13;78;
8425895100147;Rueda 'Caballero de Olmedo'  Félix Lorenzo Cachazo;2;12;
2000000009827;Blaashoek Chenin Blanc 2018 - Suid-Afrika;4;24;
8000254004771;Sicilia 'Arpeggio Bianco' 2018 Cantine Settesoli;7;42;
8437007139440;CAL Y CANTO | Rosada Bobal;6;36;
8411277400417;Cava Arte Latino Brut - Méthode Traditionnelle;3;18;
3760071131276;Pink Colombay Rose;6;36;
8437014137019;Ribeiro 2019 Ramón do Casar Varietal;6;36;
5608527000418;Dona Ermelinda Branco white;7;42;
3700059200167;IGP Côtes de Thau  Chardonnay Beauvignac;23;138;
3760028338109;Rare Vineyards Carignan Vieilles Vignes;6;36;
3489070301755;Rosé Domaine de la Renaudie;1;6;
3760071130101;La Colombette Rosé Grenache Grand Large;3;36;
eb0001;Sancerre Blanc 2021;1;3;
eb0002;pouilly fuisse 2021;1;6;
5606545740002;Van Zellers Tawny Porto - Portugal;1;6;
3760071130026;Colombette d'Hérault 2018 Chardonnay Demi Muid;1;6;
4022214171136;Villa Wolf Riesling Dry;1;6;
9120020044028;Gritsch Kalmuck Grüner Veltliner Federspiel;1;6;
8055732200053;Bardolino 2018 Massimo Ronca;1;3;
9120018517930;Iby Chevalier Blaufrankisch Reserve;1;3;
8437005068070;Juan Gil 'Silver Label' 2017 - Jumilla - España;1;3;
8410439010884;Amphora Roja Natural Pares Balta 75cl;1;2;
eb0003;Chiroubles 2021;1;3;
eb0004;Louis Loron;1;6;
8032771810450;Masseria Li Veli - Contrade Negroamaro;2;24;
eb0005;Atugnac 2020;1;6;
3113941213105;Billecart-Salmon - Brut Réserve;1;6;
eb0006;Lancerre 2021;1;6;
